#SGD	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau 9	diau 11	diau 13	diau 15	diau 17	diau 19	diau 21
S000002772	-0.34	-0.67	-0.94	-0.92	-0.47	-0.27	-0.54	-0.51	-0.34	-0.17	-0.56	-0.64	-0.3	-1.09	-0.58	-0.49	-0.29	-0.32	-0.17	-0.38	-0.49	0.04	0.19	-0.23	-0.09	-0.06	-0.14	-0.1	-0.15	-0.22	-0.43	-0.07	0.11	0.18	0.19	-0.49	-0.23	-0.06	-0.01	0.08	0.03	-0.04	0.01	0.79	-0.36	-0.03	-0.12	-0.15	0.1	0.25	0.34	0.43	0.4	-0.34	-0.25	-0.12	0.08	0.56	0.11	-0.89	-0.3	0.01	-0.3	-0.49	-0.27	0.08	-0.3	-0.15	0.03	0.57	-0.3	0.44	-0.14	0.11	0.04	-0.29	-0.4	-0.43	-0.74
S000004509	0.7	-0.43	-0.25	-0.29	-0.1	-0.09	-0.17	-0.06	-0.1	-0.23	0.38	-0.01	-0.06	-0.15	-0.03	0.32	-0.14	-0.18	-0.15	-0.67	-0.17	-0.12	0.12	0.07	-0.09	-0.3	-0.56	-0.6	-0.22	-0.43	-0.69	-0.49	0.46	-0.62	-0.09	0.06	0.04	0.14	0.14	-0.12	-0.27	0.06	-0.15	-0.43	-1.89	-0.14	-0.42	-0.54	-0.14	0.03	0.32	-0.01	0.32	-0.6	-0.18	-0.32	-0.54	0.15	-0.01	-0.76	-0.27	-0.6	-0.43	-0.01	-0.36	-0.29	-0.4	-0.62	1.09	0.54	0.45	1.1	0.25	0.14		-0.18	-0.38	-0.03	-0.94
S000005574	0.01	-0.51	-0.64	-0.45	-0.43	-0.07	0.11	-0.07	0.07	0.21	-0.14	0.26	-0.06	-0.06	-0.14	0.01	-0.09	0.18	-0.86	0.18	-0.54	0.26	0.23	0.31	0.24	0.44	0.07	0.5	1.18	0.06	-0.34	0.37	-0.56	0.26	-0.56	-0.07	-0.47	-0.69	-0.06	0.6	-0.03	-1.22	-0.25	0.12	-1.03	0.14	-0.56	0.12	-0.14	-0.43		-0.36	-0.51	0.01	-0.4	0.07	0.6	0.14	0.01	-1.12	-0.81	0.06	-0.34	0.3	-0.34	-0.94	-0.56	-0.86	-0.12	0.01	-0.15	1.28	0.04	0.04	0.53	-0.4	-0.51	-0.1	-0.6
S000003577	-0.23	-0.32	-0.18	-0.03	-0.01	0.08	-0.2	0.06	0.03	-0.2	0.39	0.04	-0.06	-0.14	0.24	0.37	-0.09	-0.12	-0.12	-0.22	-0.03	-0.03	0.11	0.11	0.07	0.12	-0.01	-0.01	-0.18	0.01	0.06	-0.07		-0.04	-0.27	-0.04	-0.32	-0.29	-0.17	-0.54	-0.22	-0.27	-0.36	-0.32	-0.38	-0.27	-0.56	0.03	-0.17	0.07	-0.54	-0.67	-0.51	-0.17	-0.51	-0.34	0.42	0.24		-0.34	-0.17	0.15	-0.04		-0.14	-0.62	-0.14	-0.3	-0.12	-0.09	-0.3	0.39	0.3	-0.04	0.34	-0.36	-0.32	-0.29	-0.3
S000002665	0.26	-0.12	0.06	-0.04	0.1	0.01	-0.25		0.21	-0.22	0.64	-0.06	0.1	-0.2	-0.01	0.14	-0.23	0.11	-0.54	-0.27	-0.25	0.59	0.15	0.01	-0.12		-0.22	-0.01	-0.04	-0.14	-0.14	-0.38	0.48	0.25	-0.6	-0.51	-0.6	-0.07	0.01	-0.38	-0.01	-0.22	-0.15	0.42	0.26	-0.04	0.12	-0.1	0.54	0.64	-0.06	-0.1	-0.4	-0.2	-0.79	-1.36	0.42	0.25	-0.25	-0.36	-0.27	-0.17	-0.34	0.18	0.15	-0.18	-0.12	-0.14	-0.14	-0.36	-0.12	0.21	-0.01	0.07	0.3	-0.12	-0.54	-0.04	-0.49
S000003966	0.04	0.33	-0.42	-0.15	-0.27	-0.04	0.06	-0.09	-0.03	-0.36	-0.43	-0.23	-0.12	-0.34	-0.18	-0.1	-0.3		0.29	-0.07	-0.32	0.1	0.1	0.07	-0.27	0.23	0.01	0.01	-0.03	0.08	0.07	-0.01	-0.25	-0.1	-0.22		-0.06	-0.17	-0.34	-0.2	0.15	-0.01	-0.09	0.43	-0.42	-0.51	-0.43	0.03	-0.17	0.24	-0.2	-0.89	-0.84	-0.47	-0.27	-1.43	0.59	1.12	0.11	0.7	0.04	0.24	0.24	0.5	-0.34	-0.38	-0.1	-0.12	0.01	-0.18	0.18	0.52	0.07	-0.56	-0.22	-0.34	-0.42	-0.17	-1.03
S000002302	-0.23	1.2	-0.3	-0.58	-0.12	-0.64	-0.12	-0.3		-0.64		-0.38	-0.22	-0.49	-0.23	-0.49	-0.25	-0.58	-0.58	-0.36	-0.76	-0.38	-0.01	-0.06	-0.4	-0.34	0.2	0.2	-0.58	0.26	0.08	-0.29	-0.74	0.11	-0.29	-0.69	-0.62	-0.03	-0.18	0.62	-0.09	-1.25	-0.64	-0.1	-0.94	-0.49	-0.69	-0.3	0.31	0.63	0.12	-0.47	-0.89	-0.36	-0.64	-1.36	0.41	0.52	0.16	-1	-0.4	0.38	-0.56	-0.47	-0.3	0.23	-1	-0.22	0.45	-0.27	-0.22	-0.15	0.24	0.12	-0.03	-0.42	-0.38	-0.62	-1.4
S000000748	0.06	0.08	0.25	0.63	0.57	0.32	0.39	0.48	0.42	-0.06	1.14	0.04	0.25	-0.06	0.82	0.31	0.15	0.03	-0.51	-0.62	-0.38	-0.17	-0.17	-0.09	-0.14	-0.4	-0.17	-0.47	-0.79	-0.58	-0.43	-0.58	-0.42	-0.18	-0.14	-0.4	-1.03	-0.45	-1.51	1.21	0.12	-0.81	0.11	-0.49	-0.92	0.24	-0.74	-0.14	0.34	0.01	-0.58	-0.64	-1	0.25	-1.03	-1	1.06		-0.1	-0.03	0.23	0.23	0.14		-0.29	-0.42	-0.1	-0.81	0.55	0.21	1.25	1.44	0.01	-0.15	-0.15	-0.29	-0.49	-0.81	-1.56
S000002369	-0.03	-0.04		-0.45	0.08	-0.23	0.16	0.08	-0.07	0.06	-0.2	-0.25	0.03	-0.03	0.19	-0.09	0.18	-0.01	-0.38	-0.43	-0.3	-0.43	-0.3	-0.38	-0.92	-0.45	-0.81	-0.74	-0.15	-0.6	-0.76	-0.34	-0.69	0.21	-0.17	-0.84	-1.06	-1	-0.06	0.86	1.04	-1	-0.6		-1.12	0.58	-0.36	-0.45	0.84	0.21	0.32	-0.17	-0.56	0.57	-0.69	-1.47	1.88	0.92	0.25	0.12	0.33	0.89	0.23	0.9	-0.51	-0.29	-0.67	-0.17	-0.27	0.53	-0.12	0.18	-0.12	-0.29	0.06	-0.56	-0.45	-1.06	-1.89
S000003292	-0.32	0.48	0.19	0.48	-0.23	-0.18	-0.34	0.16		0.15	0.41	-0.09	0.04	0.04	0.4	-0.12	-0.23	-0.1	0.07	-0.51	-0.69	0.04	-0.54	0.3	-0.2	-1.06	-0.69	-0.67	-0.94	-0.2	-1.18	-0.69	-0.29	0.06	-0.17	0.71	0.18	-0.06	0.01	-0.14	0.26	-0.07	-0.12	0.39	-0.42	-0.38	-0.54	0.03	0.51	0.11	-0.34	-0.64	-0.92	0.31	-0.45	-1.36	0.81	1.21	0.16	0.19	0.2	0.08	-0.54	0.85	-0.81	-0.49	-1.18	-0.25	0.38	0.82	0.89	-0.03	0.1		0.38	-0.43	-0.43	-1.4	-1.6
S000003793	-0.18	-0.2	-0.29	-0.09	0.03	-0.84	-0.42	0.2	0.08	-0.32	0.24	-0.23	-0.01	-0.36	-0.04	-0.07	-0.22	-0.36	-0.23	-0.47	-0.09	-0.03	0.15	-0.06	-0.42	-0.3	-0.51	-0.36	0.01	-0.62	-0.6	-0.42	0.14	-0.22	-0.09	0.04	0.01	-0.03	-0.22	-0.06	-0.04	-0.18	-0.22	0.14	-0.27	-0.51	-0.25	-0.29	0.12	0.34	-0.27	-0.71	-0.92	-0.18	-0.69	-0.86	0.61	0.96	0.37	-0.29	-0.18	-0.2	-0.3	0.33	-0.06	-0.01	-0.14	-0.74	0.04	0.23	0.38	0.07	0.08	-0.09	0.19	-0.3	-0.27	-0.86	-0.86
S000006379	-0.54	-0.69	1.03	0.57	0.49	-0.12	-0.34	-0.62	-0.56	-0.45	0.1	0.52	0.3	-0.22	-0.15	-0.62	-0.2	-0.69	-1.06	-0.81	-0.92	-0.18	0.42	0.66	0.24	0.01	-0.29	-0.1	-0.2	-0.6	-0.94	-0.51	-0.27	0.64	0.57	-0.54	-1	-0.94	0.55	0.56	0.19	0.04	-0.79	-0.92	0.39	-0.01	-0.3	-0.58	-0.03	0.01	-0.29	-0.56	-0.79	-0.2	-0.51	-1.25	1.05	0.96	-0.2		0.19	0.48	-0.06	0.48	-0.03	-0.29	-0.64	-0.23	0.41	0.34	0.99	0.83	-0.07	-0.14	0.01	-0.03	0.08	-0.36	-0.92
S000005177	-0.49	-0.54	0.67	0.78	0.12	-0.15	-0.32	-0.45	-0.64	-0.12	-0.04	0.52	0.1	-0.3	-0.56	-0.58	-0.49	0.23	-1.25	-0.76	-0.6	-0.36	0.2	0.45	-0.03	0.25	-0.09	0.04	-0.18	-0.09	-0.74	-0.22	0.14	0.6	0.5	-0.67	-0.62	-0.45	0.28	0.1	0.01	-0.64	-0.74	-0.58	-0.03	-0.29	-0.51	-0.43	0.76	0.55	0.1	-0.81	-0.94	0.12	-0.74	-2.12	1.16	0.78	0.61	0.11	0.51	0.18	0.34	0.11	-0.47	-0.54	-0.56	-0.69	-0.3	0.39	-0.1	0.14	-0.2	-0.4	-0.42	-0.34	-0.23	-0.67	-0.86
S000006222	-0.54	-0.01	0.42	0.45	0.1	-0.23	-0.22	-0.6	-0.38	-0.36	-0.03	0.12	0.03	-0.54	-0.25	-0.22	-0.56	-0.27	-1.29	-0.76	-0.4	-0.1	0.06	-0.03	0.12	-0.17	0.07	0.06	-0.43	-0.42	-0.25	-0.27	-0.06	0.56	-0.06	-0.84	-1.06	-0.54	-0.07	0.04	0.04	-0.58	-0.97	-0.17	-0.32	-0.62	-1	-0.56	0.51	0.34		-0.3	-0.4	-0.38	-0.58	-1	0.38	-0.56	-0.06	-0.22	0.15	0.04	-0.07	0.15	-0.42	-0.01	-0.69	-0.89	-0.01	0.43	0.15	0.36	-0.2	-0.03	-0.23	-0.43	-0.34	-0.47	-0.69
S000006223	-0.81	0.82	-0.32	-0.49	-1.32	-1.51	-1.03	-1	-0.15	0.2	0.06	0.16	-0.43	-0.97	-1.15	-0.54	-0.49		-0.45	-0.54	-0.71	-0.01	-0.17	-0.04	-0.22	0.32	0.06	0.46	-0.14	0.34	-0.27	0.41	-0.1	-0.1	-1.25	-0.74	-0.14	0.08	-0.06	1.24	-0.3	-0.79	-0.25	-0.27	-0.38	-0.07	-0.81	-0.34	-0.18	0.07	-0.12	-0.38	-0.27	-0.15	-0.54	-1.09	0.68	1.13	0.15	0.1	-0.06	0.93	0.39	0.29	-0.43	-0.42	-0.3	-0.76	0.14	-0.09	0.23	0.55	-0.03	-0.1	-0.51	-0.47	-0.58	-0.84	-0.84
S000000758	-0.4	0.03	0.36	-0.03	-1.25	-0.56	-1.29		0.06	0.84	0.64	0.48	-0.2	-0.42	-0.71	-0.14	-0.22	0.36	-0.92	0.4	-0.06	0.36	0.67	0.54	0.31	0.29	-0.34	0.34	0.15	0.14	0.24	0.21	0.65	0.21	-1.4	-1.22	-0.45	0.52	0.82	-0.12	-0.89	-0.67	-0.12	0.48	0.54	0.08	-0.1	-0.07	1.51	1.07	0.52	-0.42	-0.62	0.24	-0.67	-1.29	2.01	1.13	-0.25	-0.62	-0.27	0.28	-0.51	-0.04	-0.29	-0.47	-0.64	-0.29	0.1	0.15	0.26	1.33	0.01	-0.1	-0.2	-0.45	-0.64	-0.74	-1.47
S000000119	-0.6	-0.51	0.03	-0.17	-0.94	-1.29	-0.84	0.38	0.06	0.81	0.33	0.41	-0.14	-0.67	-0.94	-0.06	-0.64	0.32	-0.92	-0.6	0.01	0.33	0.16	0.2	0.29	0.28	0.11	0.31	0.12	0.25	-0.62	-0.06	-0.06	0.07	-0.64	-1.12	-0.79	-0.01	-0.2	-0.56	-0.64		-0.45	0.86	-0.42	-0.18	-0.94	0.18	0.58	0.23	-0.18	-0.71	-0.97	0.1	-0.58	-1.47	1.58	1.37	0.39	-0.14	0.25	0.19	-0.01	-0.22	0.07	-0.36	-0.54	-0.45	0.04	0.08	-0.07	0.26	-0.3	0.16	0.07	-0.4	-0.64	-0.27	-1.09
S000000406	-1.03	-1.09	0.23	-1.09	-1.56	-1.64	-1.29	0.38	0.6	0.04	0.5	-0.25	-0.6	-0.62	-1.06	-0.2	-0.03	0.57	-1.4	-0.81	-0.71	-0.23	-0.17	-0.27	-0.34	-0.22	0.33	0.68	-0.32	0.49	0.29		0.49	-0.18	-2	-1.74	0.07	1.16	1.01	-0.32	-1.4	-0.54	0.37	0.26	0.64	-0.12	-0.42	-0.34	1.19	0.84	0.11	-0.32	-0.36	0.37	-0.94	-0.81	1.46	-0.36	-0.32	-0.49	-0.56	-0.09	-0.15	-0.2	-0.47	-0.2	-0.94	-0.84	0.03	0.26	-0.01	0.33	0.19	0.01	-0.49	-0.76	-0.84	-0.81	-1.25
S000003324	0.07	-0.07	-0.12	-0.76	-0.94	-0.64	-0.64	0.42	0.95	0.23	0.75	0.07	-0.34	-0.49	-0.22	0.06	0.08	0.84	-1.64	-0.97	-0.79	-0.54	-0.67	-0.4	-0.25	-0.1	0.04	0.2	0.34	0.59	0.15	0.24	0.32	-0.4	-1.12	-3.18	-0.09	0.77	0.46	-0.27	-0.38	-0.18	0.21	1.08	0.8	0.29	0.32	-0.25	0.85		0.36	-0.03	0.08	0.55	-0.29	-0.64	0.98	0.36	-0.09	0.32	0.31	0.12	0.11	0.38	-0.36	-0.43	-0.51	-0.54	-0.03	0.29		0.39	0.1	-0.01	0.08	-0.64	-0.74	-1.25	-0.51
S000005366	-0.43	-0.76	-0.14	0.21	-0.2	-0.45	-0.4	-0.47	-0.38	-0.27	0.28	0.34	0.15	-0.2	-0.01	-0.07	-0.34	-0.32	-1.03	-0.43	-0.2		0.19	0.2		-0.12	-0.04	-0.07	-0.32	-0.01	0.29	-0.18	0.43	0.58	0.01	-0.23	-0.45	-0.45	0.04	-0.09	-0.03	-0.67	-0.79	0.12	-0.22	-0.97	-0.47	-0.2	0.65	0.39	0.1	-0.18	-0.4	-0.07	-0.36	-0.6	0.74	0.86	-0.43	-0.4	-0.56	0.15	0.12	-0.18	-0.03	0.04	0.07	0.26	-0.36	0.53	-0.07	0.37	0.07	0.06	0.19	-0.32	-0.23	-0.64	-0.92
S000001472	-0.34	-0.23	-0.74	-1	-1.03	-0.4	-0.58	-0.45	-0.27	0.24	0.04	-0.09	-0.18	-0.17	-0.34	-0.03	-0.27	0.14	-0.14	0.74	-0.12	0.06	-0.2	-0.06	-0.07	0.21	0.06	0.23	0.08	0.26	0.07	0.31	0.14	0.14	0.11	-0.42	-0.76	-0.69	-0.69	0.44	-1.29	-0.47	-0.69	0.34	-1.22	0.57	-0.86	0.1	0.06	0.58	-0.22	-0.6	-1.18	-0.47	-0.84	-2.18	1.7	1.55	-0.3	-0.56	-0.58	-0.43	-0.04	-0.03	-0.22	-0.36	0.1	-0.09	-0.42	0.56	-0.32	0.06	0.04	-0.12	-0.04	-0.36	-0.43	-0.74	-0.94
S000001898	-0.51	-0.6	-0.4	-0.22	-0.67	-0.12	-0.45	-0.07	0.08	0.39	0.2	0.06	-0.14	-0.43	-0.2	0.11	-0.34	0.1	-0.04	0.45	0.61	0.19	0.03	0.2	0.14		0.03	0.18	0.11	0.06	-0.17	0.18	0.2	0.21	-0.25	-0.4	-0.3	-0.4	0.61	0.03	-2.4	-0.49	-0.43	1.03	0.08	-0.01	-0.45	0.12	-0.06	0.2	-0.04	-0.32	-0.45	-0.56	-0.43	-0.74	0.54	0.67	-0.54	-0.74	-0.32	-0.49	-0.47	0.3	-0.34	-0.3	-0.03	-0.18	-0.49	0.08	-0.58	-0.07	-0.06		0.14	-0.25	-0.62	-0.06	-0.4
S000004974	-0.45	-0.58	-0.36	-0.56	-0.56	-0.06	0.03	-0.17	-0.27	-0.25	-0.69	-0.15	-0.15	-0.62	-0.45	-0.6	-0.12	-0.36	-0.94	-0.71	-0.4	0.25	0.01	0.11	-0.03	0.01	-0.22	0.08	0.1	0.01	-0.43	-0.07	0.29	0.25	-0.45	-0.06	-0.29	-0.22	-0.81	0.04	-0.36	-0.6	-0.49		-1.51	-0.09	-0.15	-0.81	-0.01	-0.32	0.1	0.08	-0.12	-0.14	0.23	0.41	0.42	0.36	-0.01	-0.49	-0.18	-0.42	-0.42	0.69	-0.38	-0.03	-0.76	-0.81	-0.34	0.2	-0.43	-0.15	-0.42	-0.56	-0.4	-0.32	-0.38	-0.58	-0.86
S000003730	-1.79	-0.38	0.3	-0.3	-0.84	-0.47	-0.09	-0.34	-0.42	0.77	0.62	0.2	-0.15	-0.64	-0.62	-0.49	-0.18	0.21	-0.97	-1.09	-0.47	-0.45	0.48	0.19	-0.23	-0.42	-0.38	-0.18	0.14	0.23	-0.4	0.2	-0.79	0.21	-0.64	0.11	-0.54	0.29	-0.25	1.38	0.68	-2	-0.2	0.16	-1.43	0.24	-0.89	-0.29	-0.29			-0.54	-0.22	0.33	0.34	0.06	-0.47	0.12	-0.18	-0.4	-0.07	-0.06	-0.18	0.24	-0.58	-0.45	-0.94	-0.81	-0.18	0.3	0.16	0.48	-0.18	-0.69	-1.18	-1.4	-1.32	-1.32	-1.89
S000005004	-0.23	-0.43	-0.49	-0.62	-0.49	-0.14	-0.1	-0.32	-0.18	-0.12	-0.32	-0.23	-0.17	-0.47	-0.32	-0.42	-0.38	-0.18	-0.04	-0.29	-0.3	0.32	-0.17	-0.23	-0.32	-0.06	-0.18	0.19	0.01	-0.15	0.14	-0.12	-0.54	-0.12	-0.14	0.76	-0.2	0.12	-0.04	-0.06	0.11	0.11	-0.12	0.74	0.16	0.11	-0.12	-0.23		0.14	-0.23	-0.22		-0.32	-0.69	-0.71	0.2	0.51	-0.22	-0.27	-0.34	-0.6	-0.2	0.19	-0.4	0.07		-0.03	0.21	0.15	-0.06	0.72	-0.15	-0.49	-0.1	-0.34	-0.32	0.18	-1.06
S000000685	2.03	1.63	0.38	-0.25	-0.45	-0.06	-0.34	0.01		0.37	0.5	0.1		-0.07	0.01	0.52	-0.06	0.07	-0.2	0.01	0.18	0.06	0.12	0.1	0.29	0.56	0.43	0.37	0.04	0.23	0.59	0.53	-0.07	0.15	-0.1	-0.34	-0.58	-0.45	0.58	0.69	0.1	-1.12	-0.38	0.3	-1	-0.58	-0.18	0.16	-0.6			-1.64	-1.12	0.79	-0.51	0.38	-0.15	-0.42	0.15	0.15	-0.01	0.64	-0.12	0.64	-0.51	-0.25	-0.92	-0.81	0.46	0.73	0.9	0.18	-0.09	0.78	0.04	-0.42	-0.81	-0.74	-0.64
S000005963	0.16	1.89	-0.09	-0.07		-0.34	0.08	-0.23	0.06	-0.09	0.14	-0.06	-0.01	-0.25	-0.14	-0.06	-0.43	0.06	-0.42	-0.14	-1.09	0.51	0.06	0.07	0.25	0.01	0.04	0.33	-0.36	0.2	-0.97	0.1	0.91	0.73	0.5	0.32	0.48	-0.27	0.51	0.32	0.46	0.49	0.38	0.51	0.39	0.1	0.1	-0.06	-0.47	-0.54	0.04	-0.4	-0.15	-0.45	0.32	0.43	-0.94	-0.92	-0.06	0.06	0.32	0.54	0.38	0.48	-0.1	-0.32	-0.81	-0.67	0.46	0.56	1.57	0.82	-0.34	0.31	-0.18	-0.43	-0.58	0.3	-0.38
S000000308	-0.22	-0.86	-0.17	0.03	0.16	-0.18	0.12	0.21	-0.12	-0.01	-0.29	-0.06	0.04	-0.01	-0.07	-0.2	0.11	0.07	-0.69	-0.64	-0.43	-0.43	0.07	0.34	-0.45	-0.43	-0.6	-0.15	-0.43	-0.81	-0.54	-0.27	0.04	0.28	0.34	1.66	-0.45	0.54	-0.3	0.29	0.1	-0.29	-0.38	1.23	-0.07	-0.1	0.24	-0.32	0.19	0.12	-0.12	0.08	-0.1		-0.76	-0.64	-0.89	-1.64	-0.34	-1.64	-0.47	-0.89	-0.71	-0.32	-0.67	-0.43	-0.67	-0.49	-0.64	0.25	0.61	0.97	-0.27	-0.22	0.01	-0.67	-0.76	-0.04	-0.62
S000000536	1.01	-0.3	-0.56	-0.45	-0.51	-0.25	-0.17	0.41	-0.09	0.41	-0.17	-0.03	-0.18	-0.03	-0.6	0.37	-0.04	0.1	0.79	0.11	0.5	-0.12	0.4	0.21	0.1	-0.17	-0.34	-0.3	0.19	-0.29	-0.56	-0.22	0.56	0.52	0.19	0.01	-0.29	0.21	0.18	-0.04		0.25	0.01	0.58	0.38	0.07	0.41	0.07	0.1	-0.76	-1.09	-0.92	-0.64	0.15	-0.64	-0.01	-0.38	-1.18	-0.3	-1.36	-0.4	-1.22	-1.25	0.61	-0.42	0.48	-0.6	-0.36		0.28	0.71	1.12	0.03	0.43	0.43	-0.29	-0.67		-0.43
S000006269	0.01	0.01	-0.45	-0.27	0.06	0.11	0.07	-0.15	-0.12	0.03	0.07	-0.42	-0.03	-0.15	0.3	-0.32	0.06	-0.29	-0.4	0.21	0.1	0.56	0.34	-0.09	-0.12	-0.07	0.11	0.03	-0.38	0.14	-0.06	-0.1	-0.15	-0.45	-0.23	0.2	-0.01	0.32	0.18	-0.03	0.18		-0.17	-0.09	-0.03		-0.06	-0.38	-0.3	-0.29	-0.3	-0.17	-0.56	0.01	-0.32	0.04	-0.64	-0.42	-0.2	0.26	-0.03	-0.27	-0.76	-0.12	0.2	0.11	-0.67	-0.43	-0.01	0.3	0.79	0.66	0.1	-0.03	-0.15	-0.22	-0.38	-0.42	-0.38
S000005587	0.15	-0.29	0.06	-0.25	0.38	-0.03	0.11	0.14	0.21	-0.12	0.18	-0.12	0.08	0.03	0.24	-0.01	0.21	-0.12	0.74	-0.07	-0.09	0.1	0.38	-0.09	0.19	0.1	-0.27	0.06	-0.22	-0.14	-0.4	-0.3	0.25	0.24	0.38	0.19	0.18	0.15	0.14	0.03	-0.04	0.39	0.29	-0.42	0.3	0.23	0.28	-0.43	-0.34	-0.1	-0.34	-0.25	-0.42	-0.2	-0.12	-0.36	-0.51	-1.06	0.18	-0.56	-0.18	0.32	-0.49	0.24	0.56	0.14	-0.62	-0.43	0.18	-0.04	0.34	0.7	-0.14	-0.07	-0.27	-0.47	-0.38	-0.62	-0.62
S000006100	0.08	-0.2	-0.04	-0.03	0.14	0.55	0.29	-0.25	-0.17	-0.29	-0.01	-0.17	-0.03	-0.34	-0.07	-0.29	0.2	-0.09	0.46	-0.15	-0.22	0.01	0.11	-0.1	0.01	-0.2	-0.34	-0.14	-0.3	-0.3	-0.38	-0.36	1.17	0.63	0.45	0.43	0.37	0.49	0.53	0.42	0.24	0.29	0.42	-0.22	0.11	0.04	-0.04	-0.4	-0.58	-0.58	0.12	-0.4	-0.17	-0.1	0.32	0.12	-0.42	-0.81	-0.14	-0.25	0.01	-0.32	0.19	0.12	0.06	-0.45	0.01	0.25	0.12	0.01	1	0.63	0.15	0.2	0.28	-0.36	-0.12	-1.03	0.12
S000000522	0.52		0.44	0.08	0.38	0.19	0.42	0.31	0.29	0.03	0.18	0.21	0.25		0.14	0.03	0.34	-0.1	0.14	0.2	0.1	0.38	0.39	0.34	0.39	0.15	0.01	-0.04	0.28	0.18	-0.1	0.14	0.11	-0.06	0.06	0.18	0.31	0.25	0.24	0.33	0.07	0.12	0.15	0.01	0.21	0.03	0.12	-0.07	-0.3	-0.54	-0.6	-0.42	-0.4	0.19	0.08	0.38	-0.51	-0.25	0.16	0.1	-0.42	-0.06	-0.03	0.42	0.2	-0.47	-0.09	-0.1	0.46	0.44	0.32	0.58	0.04	0.34	0.15	-0.3	-0.29	-0.56	0.14
S000000996	-0.07	-0.45	0.12	-0.07	0.04	-0.06	-0.04	-0.06	0.06	-0.43	0.28	-0.2	-0.09	-0.12	-0.12	0.08	-0.36	-0.18	-0.49	-0.58	-0.23	0.11	-0.03	0.19	0.38	0.33	0.1	0.1	0.07	0.08	0.08	-0.1	0.26		-0.15	0.25	0.25	0.53	0.7	0.8	0.65	0.54	0.6	0.32	0.64	0.73	0.32	-0.14	-0.3	-0.47	-0.94	-0.74	-0.42	-0.07	-0.56	-0.34	-1.18	-1.29	-0.12	-0.22	0.03	-0.12	-0.25	0.01	0.29	-0.62	0.18		-0.09	0.67	0.33	0.98	0.25	0.14	-0.01	-0.51	-0.45	-0.29	-0.49
S000005569	-0.1	-0.4	-0.23	-0.4	-0.04	0.19	0.03	0.06	-0.14	-0.2	-0.17	-0.23	-0.17	-0.25	-0.1	-0.06	-0.18	0.1	0.84	-0.06	-0.12	-0.15	0.44	0.11	0.14	0.07	-0.2	0.03	-0.06	-0.38	-0.4	-0.32	0.25	0.29	0.08	0.11	0.39	0.29	0.34	0.53	0.06	0.3	0.28	0.12	0.34	0.2	0.06	0.1	-0.42		-1.12	-0.84	-0.76	0.53	-0.18	-0.47	-0.32	-1.22	-0.09	0.44	-0.14	-0.47	-0.4	0.01	0.21	-0.76	-0.34	-0.15	0.32	0.61	1.22	1.5	-0.03	0.19	-0.18	-0.74	-0.51	-0.67	-0.12
S000001656	-0.01	-0.38	-0.07	0.01	0.21	0.49	-0.04	0.19	0.12	-0.04	0.38	-0.23	-0.15	-0.17	0.04	-0.03	0.3	0.11	-0.4	-0.3	-0.2	-0.14	-0.04	-0.38	-0.6	-0.25	-0.32	-0.1	-0.58	-0.32	-0.15	-0.15	0.52	-0.03	-0.32	-0.2	0.07	0.15	0.08	-0.06	-0.04	0.01	-0.23	0.16	-0.3	-0.22	-0.43	-0.45	-0.94	-0.76	-0.6	-0.38	-0.06	-0.3	0.04	-0.01	-0.92	-1.32	-0.1	-0.1	-0.1	0.07	0.03	-0.34	-0.01	-0.47	0.08		0.24		0.34	0.79	-0.29	-0.12	-0.22	-0.6	-0.29	-0.54	-0.58
S000001515	-0.25	-0.69	-0.43	-0.23	0.28	0.32	0.03	-0.1	-0.18	-0.07	0.2	-0.12	-0.18		0.15	0.15	0.25	-0.43	0.2	0.01	-0.3	-0.38	-0.23	-0.2	0.18		0.16	-0.04	-0.3	0.24	0.1	-0.18	0.16	0.18	0.18	0.7	0.64	0.23	0.31	0.07	0.14	0.65	0.06	-0.36	0.23	-0.1	-0.2	-0.04	-0.32	-0.38	-0.22	-0.15	-0.29	-0.27	0.1	-0.06	-0.27	-0.76	-0.18	-0.06	-0.43	-0.1	0.11	-0.4	-0.62	-0.74	-0.15	-0.42	0.26	-0.23	0.51	0.8	-0.04	-0.2	-0.22	-0.81	-0.45	-0.18	-0.22
